month,product,n
2014-06,Bank account or service,1223
2014-06,Consumer Loan,366
2014-06,Credit card,1070
2014-06,Credit reporting,2465
2014-06,Debt collection,3387
2014-06,Money transfers,117
2014-06,Mortgage,3424
2014-06,Payday loan,104
2014-06,Student loan,352
2014-07,Consumer Loan,485
2014-07,Credit card,1159
2014-07,Credit reporting,2659
2014-07,Debt collection,3467
2014-07,Money transfers,84
2014-07,Other financial service,11
2014-07,Payday loan,164
2014-07,Prepaid card,38
2014-07,Student loan,356
2014-08,Bank account or service,1180
2014-08,Consumer Loan,605
2014-08,Credit reporting,2668
2014-08,Debt collection,3221
2014-08,Money transfers,94
2014-08,Mortgage,3596
2014-08,Other financial service,22
2014-08,Payday loan,162
2014-08,Prepaid card,49
2014-08,Student loan,342
2014-08,Virtual currency,1
2014-09,Bank account or service,1186
2014-09,Consumer Loan,562
2014-09,Credit card,1173
2014-09,Credit reporting,2482
2014-09,Debt collection,2881
2014-09,Money transfers,108
2014-09,Mortgage,3435
2014-09,Other financial service,24
2014-09,Payday loan,180
2014-09,Prepaid card,59
2014-09,Student loan,364
2014-10,Bank account or service,1284
2014-10,Consumer Loan,595
2014-10,Credit card,1094
2014-10,Credit reporting,2262
2014-10,Debt collection,3205
2014-10,Money transfers,84
2014-10,Mortgage,3747
2014-10,Other financial service,29
2014-10,Payday loan,153
2014-10,Prepaid card,58
2014-10,Student loan,371
2014-11,Bank account or service,1074
2014-11,Consumer Loan,503
2014-11,Credit card,1058
2014-11,Credit reporting,2179
2014-11,Debt collection,2805
2014-11,Money transfers,75
2014-11,Mortgage,2971
2014-11,Other financial service,17
2014-11,Payday loan,159
2014-11,Prepaid card,61
2014-11,Student loan,341
2014-12,Bank account or service,1137
2014-12,Consumer Loan,583
2014-12,Credit card,1103
2014-12,Credit reporting,2190
2014-12,Debt collection,2953
2014-12,Money transfers,109
2014-12,Mortgage,3013
2014-12,Other financial service,13
2014-12,Payday loan,146
2014-12,Prepaid card,71
2014-12,Student loan,340
2015-01,Bank account or service,1260
2015-01,Consumer Loan,594
2015-01,Credit card,1141
2015-01,Credit reporting,2676
2015-01,Debt collection,3241
2015-01,Money transfers,105
2015-01,Mortgage,3009
2015-01,Other financial service,16
2015-01,Payday loan,134
2015-01,Prepaid card,78
2015-01,Student loan,354
2015-02,Bank account or service,1109
2015-02,Consumer Loan,582
2015-02,Credit card,1392
2015-02,Credit reporting,2381
2015-02,Debt collection,3391
2015-02,Money transfers,90
2015-02,Other financial service,21
2015-02,Payday loan,175
2015-02,Prepaid card,92
2015-02,Student loan,372
2015-03,Bank account or service,1314
2015-03,Consumer Loan,657
2015-03,Credit card,1461
2015-03,Credit reporting,2827
2015-03,Debt collection,3858
2015-03,Money transfers,131
2015-03,Other financial service,28
2015-03,Payday loan,140
2015-03,Prepaid card,86
2015-03,Student loan,432
2015-04,Bank account or service,1339
2015-04,Consumer Loan,540
2015-04,Credit card,1403
2015-04,Credit reporting,2688
2015-04,Debt collection,3348
2015-04,Money transfers,131
2015-04,Mortgage,3617
2015-04,Other financial service,19
2015-04,Payday loan,139
2015-04,Prepaid card,75
2015-04,Student loan,429
2015-05,Bank account or service,1291
2015-05,Consumer Loan,607
2015-05,Credit card,1456
2015-05,Credit reporting,2656
2015-05,Debt collection,3325
2015-05,Money transfers,147
2015-05,Mortgage,3589
2015-05,Other financial service,24
2015-05,Payday loan,103
2015-05,Prepaid card,89
2015-05,Student loan,384
2015-06,Bank account or service,1511
2015-06,Consumer Loan,624
2015-06,Credit card,1445
2015-06,Credit reporting,2709
2015-06,Debt collection,3471
2015-06,Money transfers,151
2015-06,Mortgage,3961
2015-06,Other financial service,28
2015-06,Payday loan,138
2015-06,Prepaid card,88
2015-06,Student loan,376
2015-07,Bank account or service,1531
2015-07,Consumer Loan,815
2015-07,Credit card,1535
2015-07,Credit reporting,3686
2015-07,Debt collection,3761
2015-07,Money transfers,161
2015-07,Mortgage,3746
2015-07,Other financial service,37
2015-07,Payday loan,114
2015-07,Prepaid card,98
2015-07,Student loan,411
2015-08,Bank account or service,1552
2015-08,Consumer Loan,781
2015-08,Credit card,1514
2015-08,Credit reporting,3429
2015-08,Debt collection,3558
2015-08,Money transfers,145
2015-08,Mortgage,4130
2015-08,Other financial service,36
2015-08,Payday loan,128
2015-08,Prepaid card,73
2015-08,Student loan,410
2015-09,Bank account or service,1463
2015-09,Consumer Loan,734
2015-09,Credit card,1519
2015-09,Credit reporting,2889
2015-09,Debt collection,3140
2015-09,Money transfers,114
2015-09,Mortgage,3794
2015-09,Other financial service,21
2015-09,Payday loan,139
2015-09,Prepaid card,107
2015-09,Student loan,399
2015-10,Bank account or service,1758
2015-10,Consumer Loan,723
2015-10,Credit card,1530
2015-10,Credit reporting,2809
2015-10,Debt collection,2999
2015-10,Money transfers,173
2015-10,Mortgage,3650
2015-10,Other financial service,23
2015-10,Payday loan,152
2015-10,Prepaid card,703
2015-10,Student loan,354
2015-11,Bank account or service,1510
2015-11,Consumer Loan,619
2015-11,Credit card,1443
2015-11,Credit reporting,2842
2015-11,Debt collection,2616
2015-11,Money transfers,130
2015-11,Mortgage,3140
2015-11,Other financial service,34
2015-11,Payday loan,103
2015-11,Prepaid card,167
2015-11,Student loan,286
2015-12,Bank account or service,1499
2015-12,Consumer Loan,600
2015-12,Credit card,1458
2015-12,Credit reporting,2678
2015-12,Debt collection,2857
2015-12,Money transfers,141
2015-12,Other financial service,25
2015-12,Payday loan,111
2015-12,Prepaid card,128
2015-12,Student loan,294
