ticker,month,n,z
UPST,2026-01,92,1.4630872668847577
UPST,2026-02,92,1.2495799708715662
UPST,2026-03,70,0.4725812004412105
UPST,2026-04,68,0.2815414898233539
UPST,2026-05,88,0.8885680667921174
UPST,2026-06,100,1.2546475583365009
USB,2011-12,66,
USB,2012-01,56,
USB,2012-02,67,
USB,2012-03,144,
USB,2012-04,127,
USB,2012-05,213,
USB,2012-06,149,
USB,2012-07,135,
USB,2012-08,156,
USB,2012-09,102,
USB,2012-10,126,
USB,2012-11,118,
USB,2012-12,126,0.25859397913093596
USB,2013-01,181,1.1392757172867087
USB,2013-02,160,0.6603940593649468
USB,2013-03,201,1.7432014759539718
USB,2013-04,159,0.3794207218133495
USB,2013-05,144,-0.15120227109522094
USB,2013-06,190,1.4700164973391814
USB,2013-07,163,0.5039690301640598
USB,2013-08,171,0.6612300543582271
USB,2013-09,167,0.4996889299174947
USB,2013-10,166,0.3359235219190924
USB,2013-11,153,-0.3061323356229743
USB,2013-12,160,-0.1978879490570041
USB,2014-01,197,1.7684127753354744
USB,2014-02,208,2.070682930422486
USB,2014-03,228,2.403636147459176
USB,2014-04,213,1.4861336970685475
USB,2014-05,207,1.033978695013582
USB,2014-06,212,1.0730096140584124
USB,2014-07,215,1.0612953997298458
USB,2014-08,211,0.7630349748268428
USB,2014-09,228,1.203850809451521
USB,2014-10,223,0.8582589372655914
USB,2014-11,174,-1.1990370406380813
USB,2014-12,204,-0.05992931129644795
USB,2015-01,211,0.09745855937530606
USB,2015-02,161,-3.824813133634315
USB,2015-03,186,-0.9853505365873958
USB,2015-04,302,3.844212415840673
USB,2015-05,271,1.6830610432665303
USB,2015-06,236,0.5811085869225083
USB,2015-07,213,-0.065306086987806
USB,2015-08,238,0.5747674475256794
USB,2015-09,252,0.8343179097024767
USB,2015-10,227,0.19089052640843387
USB,2015-11,218,-0.04006469288651281
USB,2015-12,187,-1.076957995148242
USB,2016-01,210,-0.32533347484069003
USB,2016-02,178,-1.2785855706922111
USB,2016-03,225,0.030677371074544327
USB,2016-04,207,-0.6442962795808572
USB,2016-05,195,-1.0403876406719907
USB,2016-06,217,0.11389909275676767
USB,2016-07,196,-0.8442394448342198
USB,2016-08,263,2.1523763420357134
USB,2016-09,244,1.1701218020776432
USB,2016-10,255,1.6331194816428394
USB,2016-11,196,-0.750755806324379
USB,2016-12,226,0.4803022377433706
USB,2017-01,251,1.2579181150066376
USB,2017-02,219,-0.018500046845933055
USB,2017-03,234,0.43701053520193767
USB,2017-04,178,-2.136922016274416
USB,2017-05,205,-0.6100743982935487
USB,2017-06,213,-0.3480934880086109
USB,2017-07,168,-2.2818281676335355
USB,2017-08,178,-1.455718671870151
USB,2017-09,182,-1.0792332188747302
USB,2017-10,169,-1.4422621029153075
USB,2017-11,190,-0.37794288831448486
USB,2017-12,172,-1.0920815974616718
USB,2018-01,177,-0.7123965135160341
USB,2018-02,163,-1.3434058011637646
USB,2018-03,200,0.7304156560131213
USB,2018-04,230,2.7496612855775
USB,2018-05,161,-1.3573877655316446
USB,2018-06,162,-1.0819936156240508
USB,2018-07,163,-0.8726981652390591
USB,2018-08,208,1.4783424296525558
USB,2018-09,174,-0.30999769095045415
USB,2018-10,187,0.34961744809045836
USB,2018-11,161,-1.034518592626352
USB,2018-12,167,-0.5739656991834506
USB,2019-01,158,-1.0138091937511282
USB,2019-02,133,-2.2860435835470807
USB,2019-03,197,0.8590340667265006
USB,2019-04,172,-0.05407626708032605
USB,2019-05,179,0.48506892398037027
USB,2019-06,185,0.6939827303287776
USB,2019-07,210,1.680881335353306
USB,2019-08,190,0.5858866063427094
USB,2019-09,203,1.2435025339105579
USB,2019-10,210,1.3370132528153784
USB,2019-11,192,0.5192028964605384
USB,2019-12,191,0.3807726917408844
USB,2020-01,198,0.5770606733901803
USB,2020-02,187,-0.005728687289829181
USB,2020-03,200,0.6332342018483144
USB,2020-04,359,10.222556664640372
USB,2020-05,239,0.8378982687637275
USB,2020-06,245,0.8437389405364395
USB,2020-07,349,2.6471737338834505
USB,2020-08,380,2.294093504534589
USB,2020-09,416,2.0877104405968305
USB,2020-10,451,1.8919922095509119
USB,2020-11,413,1.2522240508176696
USB,2020-12,363,0.6837862404067767
USB,2021-01,379,0.6924950890478513
USB,2021-02,339,0.19981074062740425
USB,2021-03,384,0.5377915775099102
USB,2021-04,246,-1.8677603486616128
USB,2021-05,252,-1.3943083173199458
USB,2021-06,229,-1.91116776157802
USB,2021-07,267,-1.1125839913678808
USB,2021-08,240,-1.4184643576344027
USB,2021-09,226,-1.4227340796884405
USB,2021-10,260,-0.6443172641158356
USB,2021-11,246,-0.7645341229068001
USB,2021-12,257,-0.4260464784473695
USB,2022-01,310,0.6880326073283558
USB,2022-02,311,0.9150446409354946
USB,2022-03,273,0.17056581059229395
USB,2022-04,314,1.9024386848567816
USB,2022-05,257,-0.22691405376165558
USB,2022-06,240,-0.8401072155340948
USB,2022-07,239,-0.9490243558461618
USB,2022-08,305,1.3077435965492183
USB,2022-09,244,-0.8030718183298602
USB,2022-10,227,-1.5849626627220266
USB,2022-11,242,-0.8148161623846484
USB,2022-12,282,0.4693912048614331
USB,2023-01,249,-0.621958285942663
USB,2023-02,241,-0.7880929168790536
USB,2023-03,109,-8.292776269276331
USB,2023-04,0,-20.59741835835831
USB,2023-05,0,-3.135548201319615
USB,2023-06,0,-2.126123326229705
USB,2023-07,0,-1.649833741597472
USB,2023-08,0,-1.3481618867701233
USB,2023-09,0,-1.1289170362233645
USB,2023-10,0,
USB,2023-11,207,
USB,2023-12,301,
USB,2024-01,309,
USB,2024-02,278,
USB,2024-03,308,
USB,2024-04,298,1.1564923059053
USB,2024-05,328,1.009232039496193
USB,2024-06,256,0.7693153459800942
USB,2024-07,291,0.6862561184208673
USB,2024-08,326,0.6059537126871076
USB,2024-09,348,0.5130336369438656
USB,2024-10,346,0.38855027870127357
USB,2024-11,288,-0.2145425059352685
USB,2024-12,313,0.27743068493490913
USB,2025-01,374,2.2205246961924887
USB,2025-02,313,0.05372593207645226
USB,2025-03,322,0.24004236722699807
USB,2025-04,297,-0.5977594035470607
USB,2025-05,339,0.7148886383589483
USB,2025-06,354,1.0988233317105784
USB,2025-07,426,3.2766066309572492
USB,2025-08,385,1.29734252085044
USB,2025-09,386,1.1217601970301427
USB,2025-10,434,1.9826275546580885
USB,2025-11,436,1.6152350751361277
USB,2025-12,524,2.7269953330707963
USB,2026-01,545,2.2322071073817686
USB,2026-02,488,1.1511967556201348
USB,2026-03,571,1.7967704688465695
USB,2026-04,471,0.5198460416393166
USB,2026-05,516,0.9359387720896932
USB,2026-06,573,1.5005732168199077
WFC,2011-12,257,
WFC,2012-01,403,
WFC,2012-02,401,
WFC,2012-03,874,
WFC,2012-04,841,
WFC,2012-05,1094,
WFC,2012-06,927,
WFC,2012-07,907,
WFC,2012-08,904,
WFC,2012-09,746,
